,empty_slots,free_bikes,id,latitude,longitude,name
207,36,18,dde5c154868c7fbe8266a3da127514db,41.4194972,2.20934,"GRAN VIA DE LES CORTS CATALANES, 1157 (D)"
208,11,4,cb6067d868f49af57bcb772cf547ac58,41.4030225,2.1913538,"C/ BOLÍVIA, 76"
209,4,12,d49ebcf08dedec667839873cce78f4f2,41.4075013,2.1930174,"GRAN VIA DE LES CORTS CATALANES, 902"
210,7,16,0d30318c6df68a1f890c2811482d2667,41.3896967,2.1652199,RAMBLA CATALUNYA/DIPUTACIO
211,7,20,a1c53aa90947b3c997765873a3a51014,41.4431441,2.1996045,"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ"
212,16,10,f312a0132032a3ac10803bb9e621e117,41.4120681,2.1907524,"C/ ARAGÓ, 659 /NAVAS DE TOLOSA"
213,7,12,4d9eddb337a5445a36c262bc8358952d,41.383597,2.184171,"AV. MARQUÉS DE L'ARGENTERA,  3"
214,16,10,9243da16a0b663887ae0d67e6f52092e,41.3838369,2.1914756,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT PAPASSEIT"
215,19,3,15603e849340dd9808548b709d679f56,41.439692,2.182335,"AV. RIO DE JANEIRO, 96"
216,7,20,52249e8f72004c480c1c6a8576e026b3,41.3830299,2.1571646,"C/ DEL COMTE D'URGELL, 75 B"
217,20,5,d91cce5b9b84bd9bbec5fd4330c46d51,41.38322238887374,2.1479931916296557,"C/ ROCAFORT, 187"
218,19,7,30f67feaf5a06496a48c4faf1fe559df,41.3935355,2.1231228,"C/ SANTA AMÈLIA, 2"
219,15,4,aca83ec4f285c718592e930810c0679e,41.383467,2.122175,"AV. JOAN XXIII, 17"
220,21,7,16542042e0f60846cf29c95a67c22624,41.3881262,2.1091535,"C/ GRAN CAPITÀ, 9"
221,16,8,35e66e698b6339913614094b36a65fc8,41.3719688,2.1667829,"C/ NOU DE LA RAMBLA, 164"
222,13,13,ffa7f0802de02896fedf531adb54aff0,41.3854003,2.1521802,"C/ COMTE BORRELL, 198"
223,2,22,22a0dc925e9480c731bf5113ee1fbb24,41.377187,2.176757,"LA RAMBLA, 2 (MUSEO DE CERA)"
224,13,8,7be8b5ea66e4126db598f2c674953f92,41.3906051,2.1972309,"C/ ROSA SENSAT, 12"
225,16,8,417ad16238c60e93946e9c620a3d8401,41.4140598,2.2150487,"C/ PALLARS, 504"
226,28,4,143a26af73018f0c2baf57f161c4df3c,41.3917666,2.1532163,"C/ CÒRSEGA, 216"
227,16,8,a0487dd8415803f990a1e0577f53e2b4,41.4388223,2.1767828,"C/ TURÓ BLAU, 1-3"
228,22,3,bd95af27910d965ae58b27109ca040cc,41.3999967,2.1644531,"C / GIRONA, 176"
229,20,10,13b112063b8ee8e5475ddbd9e22539fb,41.3887127,2.1542277,"C/ CASANOVA, 139"
230,16,8,f10f219e4f969e8b6940ec1ee720205e,41.3785631,2.1202487,"C/ GALLEGO, 2"
231,22,5,5bfe842be27fb163b61556088fea6184,41.3953855,2.1210928,"C/ CAPONATA, 20"
232,24,2,2eba5bdf50133a1330d68bd60522da49,41.4029965,2.1283866,"C/ DE LES ESCOLES PIES, 99"
233,11,4,b121b1383d4269226f7d5bb7be520c19,41.4513863,2.1894717,"C/ MIREIA, 28"
234,11,6,dc04b4e3cdc44b9f8138c24836c54d4f,41.382335,2.187093,"C/ DOCTOR AIGUADER, 2"
235,42,7,cf4f9f6ade2aebdc251e2ff66732280f,41.3919877,2.2037136,"AV. LITORAL, 172"
